epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
63,6950.08,1.01004,1.56684,1.08221,0.00285,1.33208,0.56356,0.61517,0.60832,0.4333,0.57144,0.60366,0.60385,0.41104,1.06042,1.95908,1.26919,0.00419,0,0.00048275,0.00048275,0.00048275
64,7057.02,0.97489,1.52454,1.04571,0.00283,1.34269,0.52779,0.66437,0.62389,0.44793,0.53948,0.60735,0.61847,0.42593,1.10136,1.95667,1.30843,0.00441,0,0.000470375,0.000470375,0.000470375
65,7167.73,1.0215,1.62067,1.09801,0.00291,1.41312,0.62229,0.59366,0.63133,0.45059,0.62974,0.59598,0.63247,0.43012,1.06076,1.93303,1.22684,0.00424,0,0.000458,0.000458,0.000458
66,7280.84,1.02716,1.59912,1.10743,0.00292,1.4088,0.59742,0.64454,0.64688,0.4648,0.59598,0.64319,0.64265,0.44086,1.03884,1.90648,1.24359,0.00416,0,0.000445625,0.000445625,0.000445625
67,7387.77,0.97776,1.55774,1.03357,0.00278,1.36275,0.59614,0.63837,0.6189,0.43861,0.58997,0.63629,0.61141,0.41131,1.07868,1.94519,1.30333,0.00429,0,0.00043325,0.00043325,0.00043325
68,7500.46,0.98636,1.52854,1.06252,0.0028,1.3026,0.68765,0.57745,0.64014,0.45511,0.68765,0.57745,0.63691,0.43107,1.05087,1.91765,1.25254,0.00417,0,0.000420875,0.000420875,0.000420875
69,7613.34,0.96941,1.52169,1.03697,0.00271,1.36533,0.62737,0.60751,0.64131,0.46604,0.62431,0.62544,0.64006,0.44313,1.05276,1.93275,1.25075,0.00418,0,0.0004085,0.0004085,0.0004085
70,7724.15,0.99937,1.54149,1.04637,0.00283,1.33257,0.66698,0.61377,0.65634,0.47598,0.70353,0.61296,0.65691,0.45033,1.0545,1.93741,1.20236,0.00417,0,0.000396125,0.000396125,0.000396125
71,7834.95,1.01664,1.55425,1.04054,0.00275,1.33432,0.61423,0.64753,0.66409,0.47194,0.62614,0.64381,0.65883,0.45084,1.03907,1.9733,1.274,0.00413,0,0.00038375,0.00038375,0.00038375
72,7946.57,1.00088,1.50416,1.02528,0.00282,1.30256,0.68206,0.60754,0.65096,0.4704,0.69028,0.61005,0.65587,0.44586,1.05857,1.93633,1.23731,0.00421,0,0.000371375,0.000371375,0.000371375
73,8062.86,0.97936,1.48502,1.00883,0.00277,1.20808,0.61303,0.66661,0.656,0.47061,0.62842,0.65794,0.65749,0.45101,1.03949,1.9177,1.20689,0.0041,0,0.000359,0.000359,0.000359
74,8177.91,0.95979,1.46417,0.98587,0.00256,1.29716,0.61618,0.62115,0.66766,0.48597,0.62356,0.61719,0.66037,0.45588,1.04687,1.94406,1.2292,0.00409,0,0.000346625,0.000346625,0.000346625
75,8282.56,0.96551,1.46222,1.00497,0.00269,1.27031,0.62908,0.59877,0.62155,0.45816,0.64904,0.58759,0.62311,0.43536,1.05832,1.95982,1.2127,0.00424,0,0.00033425,0.00033425,0.00033425
76,8391.32,0.98571,1.53153,1.00825,0.00272,1.28456,0.61485,0.68072,0.67949,0.49163,0.6156,0.67776,0.67354,0.46211,1.0422,1.95008,1.18011,0.00411,0,0.000321875,0.000321875,0.000321875
77,8494.47,0.95649,1.47857,0.99648,0.00262,1.24626,0.66239,0.63984,0.66176,0.48596,0.66316,0.6385,0.66149,0.45823,1.03787,1.91367,1.20692,0.00409,0,0.0003095,0.0003095,0.0003095
78,8596.34,0.95921,1.4477,0.96619,0.0027,1.23207,0.65456,0.66328,0.67227,0.4802,0.64919,0.65289,0.66125,0.45447,1.05339,1.97501,1.21111,0.00417,0,0.000297125,0.000297125,0.000297125
79,8704.38,0.96965,1.45649,0.96037,0.00269,1.2284,0.68075,0.64919,0.66358,0.47742,0.69147,0.63688,0.662,0.45375,1.04885,1.9464,1.2179,0.00412,0,0.00028475,0.00028475,0.00028475
80,8812.83,0.95546,1.45492,0.97519,0.00268,1.19902,0.60097,0.66043,0.68159,0.48771,0.61748,0.65713,0.68222,0.4667,1.06288,1.95377,1.2063,0.00421,0,0.000272375,0.000272375,0.000272375
81,8921.25,0.95231,1.43252,0.93614,0.00263,1.14104,0.7277,0.63339,0.68961,0.50091,0.72431,0.63223,0.68129,0.4656,1.02948,1.95671,1.2005,0.00404,0,0.00026,0.00026,0.00026
82,9035.62,0.94431,1.41928,0.94407,0.00262,1.17523,0.65204,0.64262,0.67323,0.49391,0.63959,0.64141,0.65954,0.4569,1.04867,2.01067,1.1705,0.00414,0,0.000247625,0.000247625,0.000247625
83,9141.2,0.95134,1.43061,0.93861,0.00276,1.13284,0.62575,0.65662,0.67522,0.49306,0.6428,0.62319,0.66118,0.45176,1.02354,1.98747,1.16792,0.00399,0,0.00023525,0.00023525,0.00023525
84,9253.16,0.95963,1.46063,0.92499,0.00252,1.13037,0.65792,0.64336,0.66581,0.48205,0.64487,0.63669,0.65478,0.45332,1.03475,1.99845,1.17153,0.00405,0,0.000222875,0.000222875,0.000222875
85,9365.25,0.93688,1.42594,0.90297,0.00255,1.15541,0.67153,0.64138,0.68422,0.49718,0.67864,0.6285,0.67453,0.46618,1.02224,1.97956,1.18479,0.00399,0,0.0002105,0.0002105,0.0002105
86,9478.9,0.93141,1.39401,0.89893,0.00249,1.12325,0.66072,0.67729,0.67907,0.50298,0.65607,0.67048,0.66935,0.47034,1.01134,1.98476,1.19646,0.00393,0,0.000198125,0.000198125,0.000198125
87,9590.94,0.93619,1.41409,0.91503,0.00262,1.12176,0.6502,0.65608,0.66934,0.49672,0.65434,0.6485,0.66451,0.46187,1.02978,2.05081,1.19043,0.00403,0,0.00018575,0.00018575,0.00018575
88,9695.55,0.9439,1.43337,0.92607,0.00261,1.16467,0.59426,0.64835,0.64752,0.48459,0.59975,0.64921,0.64553,0.45635,1.01087,1.96145,1.20085,0.00395,0,0.000173375,0.000173375,0.000173375
89,9808.39,0.92535,1.40031,0.9051,0.00254,1.11382,0.61533,0.65275,0.66736,0.49275,0.71668,0.59148,0.6583,0.45713,1.01558,1.93516,1.18305,0.004,0,0.000161,0.000161,0.000161
90,9920.36,0.9162,1.35859,0.88526,0.00251,1.09619,0.68836,0.65687,0.67713,0.49584,0.70465,0.65212,0.66909,0.46337,1.03185,1.98235,1.18566,0.00403,0,0.000148625,0.000148625,0.000148625
91,10035.7,0.92332,1.44571,0.9,0.00305,0.92046,0.69505,0.65342,0.69343,0.50861,0.68577,0.64782,0.67717,0.47317,1.02794,1.99003,1.18179,0.00402,0,0.00013625,0.00013625,0.00013625
92,10136.2,0.92104,1.44199,0.87705,0.00296,0.90275,0.71733,0.6267,0.68426,0.4974,0.72511,0.62466,0.67072,0.46538,1.02788,1.98652,1.1493,0.00404,0,0.000123875,0.000123875,0.000123875
93,10243.3,0.89317,1.36991,0.85744,0.00284,0.86158,0.67192,0.65727,0.67611,0.49523,0.68,0.65727,0.67381,0.4693,1.02028,2.00776,1.16746,0.00399,0,0.0001115,0.0001115,0.0001115
94,10349.3,0.90364,1.37736,0.8358,0.0029,0.84035,0.66354,0.66319,0.68185,0.49153,0.6556,0.6556,0.66331,0.46281,1.02735,2.00507,1.17558,0.00399,0,9.9125e-05,9.9125e-05,9.9125e-05
95,10462.3,0.88326,1.37516,0.82757,0.00293,0.8524,0.71031,0.63571,0.68362,0.50546,0.72779,0.63001,0.6815,0.47403,1.01655,2.01538,1.15798,0.00396,0,8.675e-05,8.675e-05,8.675e-05
96,10573.1,0.88022,1.35306,0.82853,0.00282,0.84639,0.61793,0.69668,0.68731,0.50086,0.64732,0.6526,0.67709,0.46806,1.01894,2.01565,1.14719,0.00397,0,7.4375e-05,7.4375e-05,7.4375e-05
97,10679.3,0.88771,1.35747,0.83609,0.00285,0.82895,0.63272,0.68627,0.689,0.50252,0.63443,0.67213,0.67293,0.46676,1.01471,1.97141,1.16663,0.00394,0,6.2e-05,6.2e-05,6.2e-05
98,10787.4,0.86746,1.33451,0.81023,0.00283,0.84568,0.64373,0.67348,0.68259,0.49726,0.65663,0.65281,0.67167,0.46247,1.02192,1.98274,1.17585,0.00396,0,4.9625e-05,4.9625e-05,4.9625e-05
99,10898.8,0.85422,1.31139,0.78937,0.00278,0.80454,0.64533,0.68048,0.68123,0.4926,0.63632,0.6737,0.67115,0.46235,1.01422,1.98515,1.17462,0.00395,0,3.725e-05,3.725e-05,3.725e-05
100,11008.5,0.8772,1.3754,0.80206,0.00292,0.81174,0.68029,0.64957,0.68519,0.4926,0.68617,0.63695,0.66934,0.46274,1.01095,1.98547,1.17299,0.00393,0,2.4875e-05,2.4875e-05,2.4875e-05
