epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,6225.29,0.95132,1.45993,0.93619,0.00253,0.90057,0.46163,0.45453,0.43973,0.27573,0.4746,0.44598,0.43403,0.23818,1.05179,1.95102,1.29017,0.00414,0,0.000357893,0.000357893,0.000357893
56,6335.36,0.93736,1.45474,0.92912,0.00256,0.85647,0.65529,0.39204,0.41694,0.27389,0.64978,0.39207,0.40315,0.24158,1.00385,1.90413,1.22858,0.00398,0,0.00035028,0.00035028,0.00035028
57,6444.94,0.92518,1.38636,0.88307,0.00254,0.81222,0.68889,0.38504,0.40868,0.26653,0.67974,0.38983,0.404,0.2372,1.04522,2.00248,1.25304,0.00414,0,0.000342666,0.000342666,0.000342666
58,6552.81,0.92741,1.43483,0.90781,0.00265,0.79411,0.53197,0.42634,0.42311,0.27192,0.51906,0.41536,0.41009,0.24399,1.03926,1.96231,1.21086,0.00412,0,0.000335053,0.000335053,0.000335053
59,6661.99,0.94589,1.45003,0.90441,0.00252,0.83441,0.57767,0.43109,0.43186,0.27562,0.57289,0.42926,0.42181,0.25146,1.06521,2.00518,1.25259,0.00419,0,0.00032744,0.00032744,0.00032744
60,6774.4,0.91675,1.38325,0.85784,0.00252,0.78598,0.47136,0.42854,0.41464,0.26388,0.5936,0.38956,0.40092,0.23928,1.0658,1.96302,1.21035,0.00422,0,0.000319827,0.000319827,0.000319827
61,6883.29,0.93935,1.44821,0.89328,0.00257,0.79344,0.36452,0.42216,0.40387,0.26582,0.34964,0.40401,0.3916,0.23929,1.02753,1.98158,1.26914,0.00404,0,0.000312214,0.000312214,0.000312214
62,6993.36,0.92815,1.40635,0.86474,0.00258,0.79464,0.65667,0.40261,0.42269,0.2766,0.65214,0.39707,0.40758,0.24253,1.02075,1.96673,1.22821,0.00399,0,0.000304601,0.000304601,0.000304601
63,7105.95,0.92619,1.40487,0.87895,0.00254,0.77475,0.51186,0.39945,0.42282,0.26565,0.49993,0.39363,0.4086,0.23633,1.05765,2.09381,1.29909,0.00419,0,0.000296988,0.000296988,0.000296988
64,7219.66,0.89464,1.3669,0.86442,0.0025,0.76989,0.44433,0.41676,0.40902,0.26659,0.46203,0.39568,0.40068,0.23688,1.0486,2.03763,1.23572,0.0041,0,0.000289375,0.000289375,0.000289375
